Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Category sound	Additional information
350	Spectrogram 1	1	3491.484	3614.446	3302.8	19596.3	Other animal	
351	Spectrogram 1	1	3492.311	3495.705	654.5	7854.5	Bird	low
352	Spectrogram 1	1	3496.213	3497.839	0	10581.8	Bird	
353	Spectrogram 1	1	3503.815	3509.038	0	8836.4	Bird	
354	Spectrogram 1	1	3510.51	3540.753	763.6	9272.7	Bird	low
355	Spectrogram 1	1	3561.384	3581.607	763.6	7527.3	Bird	low
356	Spectrogram 1	1	3581.477	3584.811	1527.3	7745.5	Bird	
357	Spectrogram 1	1	3589.282	3598.835	981.8	7418.2	Bird	low
358	Spectrogram 1	1	3601.341	3606.219	0	5914.7	Buzz	
359	Spectrogram 1	1	3601.89	3642.591	1578.9	7680	Bird	low
360	Spectrogram 1	1	3622.861	3669.324	5284.4	19266.1	Other animal	
361	Spectrogram 1	1	3642.683	3675.274	1473.7	6840	Bird	low
362	Spectrogram 1	1	3644.751	3660.483	0	10581.8	Buzz	
363	Spectrogram 1	1	3674.995	3775.702	4248.8	16765.6	Other animal	
364	Spectrogram 1	1	3683.451	3696.744	0	4320	Buzz	
365	Spectrogram 1	1	3696.317	3715.829	1473.7	6360	Bird	low
366	Spectrogram 1	1	3700.28	3717.902	0	3052.6	Buzz	
367	Spectrogram 1	1	3718.268	3727.537	1263.2	5894.7	Bird	low
368	Spectrogram 1	1	3718.878	3722.293	0	2803.7	Buzz	
369	Spectrogram 1	1	3727.415	3732.171	1368.4	6842.1	Bird	
370	Spectrogram 1	1	3727.963	3739.366	0	4105.3	Buzz	
371	Spectrogram 1	1	3732.28	3752.768	2000	6736.8	Bird	low
372	Spectrogram 1	1	3752.707	3755.451	0	5684.2	Buzz	
373	Spectrogram 1	1	3757.159	3759.537	0	4736.8	Buzz	
374	Spectrogram 1	1	3761.854	3776.61	1157.9	5473.7	Bird	low
